File;Chapter;Paragraph;LLM response
22282;6.1.2.1.2	Requirements;[R-6.1.2.1.2-003] The MCData Service shall provide a default control latency depending on the robots type under;NO
22282;6.1.2.1.2	Requirements;"- 50 ms for an aerial unmanned vehicle;";NO
22282;6.1.2.1.2	Requirements;"- 200 ms for an aquatic or submarine unmanned vehicle; and";NO
22282;6.1.2.1.2	Requirements;- 400 ms for a terrestrial unmanned vehicle.;NO
22289;5.2.1	Overview;The relative braking distance of a rail vehicle is an important indicator of the safety, which is significantly influenced by the transmission reliability between train and controller at low speeds up to 40 km/h. This mainly applies to the entry and exit of trains in the station area or displacement manoeuvres within marshalling yards. The reliability and latency of the transmission of the control command signalling of speeds up to 40 km/h has a direct impact on the braking distance.;NO
22837-j00;3.1	Terms;-	Max sensing service latency: time elapsed between the event triggering the determination of the sensing result and the availability of the sensing result at the sensing system interface.;NO
22837-j00;5.21.1	Description;Extended Reality (XR) is an important 5G use case. Split-rendering architectures, where the heavy XR video rendering computation is done at the application server based on control information received from the UE, poses strict Quality-of-Service (QoS) requirements in terms of round-trip latency and throughput for delivering the video and control info. ;NO
22843-j00;5.5.5		Existing features partly or fully covering the use case functionality;Table 7.3-1 lists typical scenarios and the corresponding positioning requirements for horizontal and vertical accuracy, availability, heading, latency, and UE speed.;NO
22843-j00;5.5.5		Existing features partly or fully covering the use case functionality;NOTE: 		the position service latency can be tailored to the use cases.;NO
22843-j00;5.6.3		Service Flows;5.	UTM requests 5G network for network condition information (e.g., bitrate, latency, reliability) along the flight path of UAV A.;NO
22843-j00;5.6.3		Service Flows;6.	The 5G network provides the requested statistics (e.g., end-to-end latency, QoE) for specific requested area/areas (e.g., degraded QoE at waypoint #2).;NO
22843-j00;5.6.5		Existing features partly or fully covering the use case functionality;These requirements do not include explicit requirements on QoS related network conditions like bitrate, latency and reliability.;NO
22851-j00;1	Scope;-	User/service experience (e.g., maintain the communication latency for voice, and SMS) when accessing the shared network, including scenarios of home-routed traffic or local breakout.;NO
22851-j00;5.5.1	Description;Subscribers have the opportunity to visit the Hosted Services via its own operator's network, specified in TS 22.261[3]. These Hosted Services contain applications provided by operators and/or trusted 3rd parties. Usually, operators use some technologies to optimize the path of the user plane to reduce latency and bandwidth pressure, if the Hosted Services run on the operator's Service Hosting Environment.;NO
22851-j00;5.5.5	Existing Features partly or fully covering Use Case Functionality;5G is designed to meet diverse services with different and enhanced performances (e.g. high throughput, low latency and massive connections) and data traffic model (e.g. IP data traffic, non-IP data traffic, short data bursts and high throughput data transmissions).;NO
22856-j00;1	Scope;"-	performance (KPI) aspects; e.g. latency, throughput, connection density";NO
22856-j00;5.2.1	Description;In order to support traffic flow simulation and situational awareness service, the 5G network need to provide low latency, high data rate and high reliability transmission, handover procedures that minimize service disruptions, and in addition, the 5G network may also need to be further enhanced to meet the service requirements for 5G-enabled traffic flow simulation and situation awareness. Meanwhile, in addition to the physical objects which may use UEs for telecommunication services, their corresponding virtual objects are also capable of interacting with each other and also interact with physical objects via 5GS.;NO
22856-j00;5.3.1	Description;To support DVEs for collaborative and concurrent engineering, the 5G system needs to fulfil certain KPIs, such as latency, data rate, reliability. Moreover the 5G system (with mobile metaverse services) is expected to support the fundamental features including:;NO
22856-j00;5.9.5	Existing features partly or fully covering the use case functionality;This requirement is related to requirement [PR 5.9.6.2], but not exactly the same since the usage of predictive digital representation (e.g. avatar) models requires the knowledge of the end-to-end network conditions, in particular, latency. ;NO
22856-j00;5.10.1	Description;Mobile metaverse for Critical HealthCare Services. Immersive interactive mobile services encompass multiple services such as gaming, education, healthcare, shopping, recreation etc. Healthcare is a lifesaving critical service, which will benefit the most from mobile metaverse services. Remote surgery and surgeon training are already emerging examples, for geographically spread specialized surgeons, students and patients. Healthcare making use of mobile metaverse services can save lives by providing healthcare services at the earliest, train students better and free surgeons/doctors from being physically present at patient’s location. This area will encompass services such as surgery, medical student training, surgeon training. It will enable remote physician and patient examination. Mobile metaverse services can be characterized as a typical class of application that involves a server and a client device. This class of application will typically exchange haptic signals (forces, torques, position, velocity, vibration etc.), video and audio signals. Mobile metaverse services largely depend on low latency, highly reliable, secure wireless communication networks. [14, 32, 33, 36, 37];NO
22856-j00;5.12.1	Description;-	audio-tactile stimuli: 12 ms when the audio comes first and 25 ms when the tactile comes first to be perceived as being synchronous.;NO
22856-j00;5.12.1	Description;-	audio-visual stimuli: 20 ms when the audio comes first and 20 ms when the video comes first to be perceived as being synchronous.;NO
22856-j00;5.12.1	Description;NOTE 1:	Taking audio-tactile stimuli as an example, when the audio comes first, users are not able to detect asynchronies if the tactile comes within 12ms. Accordingly, when the tactile comes first, users are not able to detect asynchronies if the audio comes within 25ms.;NO
22856-j00;5.12.5	Existing features partly or fully covering the use case functionality;3GPP TS 22.261 [6] specifies KPIs for high data rate and low latency interactive services including Cloud/Edge/Split Rendering, Gaming or Interactive Data Exchanging, Consumption of VR content via tethered VR headset, and audio-video synchronization thresholds.;NO
22856-j00;5.12.5	Existing features partly or fully covering the use case functionality;-	in the range of [125 ms to 5 ms] for audio delayed and;NO
22856-j00;5.12.5	Existing features partly or fully covering the use case functionality;-	in the range of [45 ms to 5 ms] for audio advanced.;NO
22856-j00;5.19.1	Description;With the proliferation of APIs in existing mobile applications already creating an extensive market for application exposure, API integration in emerging Metaverse applications and features is likely to emerge as a major functionality for enhancing experiences across extended reality functions that builds upon already-existing API development. Given the importance of consistent, reliable network access and the low-latency connections necessary to generate and maintain immersive experiences in Metaverse immersive experiences, one could reasonably expect the development of APIs supporting network exposure for configuring and optimizing network features for a diverse array of emerging functions in extended reality interactions. As 5G begins to support VR, AR, and MR interactions through the cellular network, questions surrounding the efficiency and trustworthiness of network exposure to application developers abound. ;NO
22856-j00;5.20.2	Pre-conditions;In order to maximize Bob’s efficiency, the metaverse service experience delivered by the system is real-time with non-noticeable latency. This use case includes both location related and location agnostic service experience examples.;NO
22856-j00;5.22.1	Description;Mobile metaverse services allow people to enjoy an online digital concert with their avatars beyond the limitation of time and space. In order to provide immersive interactive location agnostic service experience to mobile metaverse service customers, large amount of computing resouces is needed to perform real-time processing for audio, video, and interactive data, etc. The thing to realise here is that different customers will use terminals e.g. XR glasess with different brands and different processing capabilities, some of the glasses will not have enough computing resources to perform the real-time rendering. Through split rendering, most of the computing work task can offload to the network, the high speed and low latency transmission provided by 5G system can cooperate with the edge cloud side for real-time rendering, and combine with the local optimized rendering of the XR terminal side to provide the immersive and unbounded XR experience. In addition to this, similar to the real world, people are more likely to watch a concert together with their friends, further, the mobile metaverse live concert service is also provides private boxs for group of avatars to enjoy the concert privately, and different types of social authority can be provided in the private box on demand.;NO
22856-j00;5.25.1	Description;Some mobile metaverse services require more bandwidth and lower latencies which can be challenging to meet. Major improvements to satisfy these requirements of uninterrupted, lag-free, immersive mobile metaverse service experience using non-3GPP access have been made such as:;NO
22856-j00;5.25.1	Description;-	incorporation of High Band Simultaneous (HBS) Multi-Link Operation (MLO) in 802.11be that aggregates two simultaneous 160 MHz channels (four streams) in 5 GHz and 6 GHz bands reducing latency to < 2msec;NO
22856-j00;5.25.3	Service Flows;3. Both Mark and Bob experience different network conditions, e.g., bitrate, reliability, latency across the access networks. ;NO
22865-j00;5.7.3	Service Flows;5. Bell answers the phone call with satellite access and tries to find Ed based on the real-time position information of Ed. For lower communication latency, this phone call is routed by only one satellite without going through the ground network of TerrA and TerrB.;NO
22865-j00;5.9.1	Description;Network deployment in sparsely populated areas has been a major concern worldwide due to numerous challenges like affordability, infrastructure unavailability, and landscape or topographic conditions. Satellite connectivity can help to serve such areas. However, satellite access may not suffice in all scenarios (for low latency and high throughput applications) and there may be a need for terrestrial network deployment also. In such a situation, satellite connectivity can also facilitate information collection related to UE location and usage statistics, which can later be used for terrestrial network planning in these areas. ;NO
22865-j00;5.12.1	Description;Forest fire monitoring centre with AI system can optimize the route through real-time information collected by UAV. In addition, the 5G system provides high-precision positioning of the UAV, which has been specified in 3GPP TS 22.261 [2].  But for UAVs using only satellites access, 5G system is difficult to provide high-precision positioning service under low latency. The end-to-end delay of LEO based satellite access can reach 35 ms [2]. After 5G system gets the real-time location data of flying UAV, it sends them to a trusted third party (e.g., The forest fire monitoring centre equipped with AI system) for UAVs to assist flying.;NO
22865-j00;5.12.5	Existing features partly or fully covering use case functionality;About location delivery latency:;NO
22865-j00;5.13.5	Existing features partly or fully covering use case functionality;The legacy requirements for positioning service defined in TS 22.261 [2] are not well adapted to all types of UE with satellite access considering the satellite characteristics (e.g. latency). ;NO
22865-j00;5.14.1	Description;Furthermore, the draft report of ITU-R for IMT2020-satellite requirement for mobility interruption time in satellite radio interfaces is 50ms [20].;NO
22876-j00;5.2.1	Description;Thus, as an offloading strategy, we can imagine that a model is split between 2 robots because it has been established that for a particular AI/ML model, the latency with the sidelink communication was better (smaller) than with the regular 5G communication path, as stated in [12] and [13].;NO
22876-j00;5.2.1	Description;As previously said latency is a critical requirement. Figure 5.2.1-3 summarizes the latency cost in three scenarios:;NO
22876-j00;5.2.1	Description;The inference of model M is done locally. Latency is denoted LLI.;NO
22876-j00;5.2.1	Description;The inference process is fully offloaded on a second device (Robot/UE). Latency is denoted LFO.;NO
22876-j00;5.2.1	Description;The inference process is partially offloaded on a second device (Robot/UE). Latency is denoted LPO.;NO
22876-j00;5.2.1	Description;Figure 5.2.1-3 Latency summary;NO
22876-j00;5.2.1	Description;The current Use Case promotes the scenario (C) where a model M is split in two sub-models Ma and Mb. If both robots (UEs) have a similar computing power, the assumption is that the latency due to the inference of model M is almost equal to the latency of model Ma plus the latency of model Mb.;NO
22876-j00;5.2.1	Description;Hence, once the split model is deployed on the two robots (UEs), the aim is to minimize the E2E latency and to be as close as possible to the non-split case. This is done with a transfer delay of both the intermediate data and the inference results as small as possible. We can note that if the computing power on the assistant robot is more important, then scenario (C) would be the preferred scenario.;NO
22876-j00;5.2.1	Description;In scenario (B), the inference process is fully offloaded on the assistant robot (UE). The major inconvenience is the strong and negative impact on latency of the raw data transfer towards the assistant robot.;NO
22876-j00;5.2.1	Description;Table 7.6.1-1 KPI Table for additional high data rate and low latency service;NO
22876-j00;6.1.3	Service Flows;6.	For Alice and Bob, they can see the status of all direct device connections to themselves through network exposures providing by operators (e.g. monitored bandwidth and latency of each direct device connection);NO
22876-j00;7.1.1	Description;To show the performance of decentralized averaging method, the [6] implemented a preliminary simulation for a network that consists of one BS that is acted as an application server and six devices, as shown in Figure-1. In Figure-1, the green and purple lines respectively represent the local ML parameter transmission of original FL and the FL with decentralized averaging methods. Due to the transmission latency requirement, only 4 devices can participate in original FL. For the FL with the decentralized averaging update method, 6 devices can participate in the FL training process since the devices which are out of coverage can connect to their neighbouring devices (i.e. Device a and Device b) for model updating.;NO
22876-j00;7.1.2	Pre-conditions;To achieve an ideal performance (i.e. fast convergence and high model accuracy), there is a transmission latency requirement to each FL member UE’s data transmission.;NO
22876-j00;7.1.6.2	KPI requirement for direct device communication;Table 7.1.6-1: Latency and user experienced UL/DL data rates for uncompressed Federated Learning;NO
22882-j00;5.1.1	Description;Currently energy consumption and efficiency can be monitored and considered through O&M and network operation, but not as a service performance criterion, as for example bit rate, latency or availability. Guidance from SA to all working groups in states: ;NO
22882-j00;5.1.3	Service flows;NOTE:	This use case does not describe how latency is increased, but does assume that this increase will result in a reduction of energy consumption. It is possible to reduce energy consumption by offering less service.;NO
22882-j00;5.1.4	Post-conditions;The IoT devices in the fleet belonging to L are able to communicate with varying latency, depending on the energy consumption required to serve the devices. When the UEs are in poor coverage, they communicate seldom, when under good coverage, they can communicate more frequently.;NO
22882-j00;5.7.5	Existing features partly or fully covering the use case functionality;NOTE 2:	The QoS parameters to be monitored and reported can include latency (e.g. UL/DL or round trip), jitter, and packet loss rate.;NO
22882-j00;5.8.5	Existing features partly or fully covering the use case functionality;EE TS 28.310 specifies the work in 3GPP related to energy efficiency. It specifies use cases relating to energy efficiency such as switching off edges UPFs for low-latency communication in certain geographical areas when no user is actively using them. Based on the scenarios the document presents requirements to be considered to support energy efficiency. The main requirements among them are requirements related to Power, Energy and Environmental measurements as well as requirements concerning energy saving. ;NO
22989-j30;4	Overview;FRMCS Equipment shall connect to application domain through 3GPP radio access or other access. It provides emergency group communication, low latency and high reliable data and video service in high speed train environment. Amongst others it has the following important features:;NO
22989-j30;4	Overview;-	Low latency and high reliable data and video service;NO
22989-j30;9.14.3	Service Flows;1. The following train begins to approach to the leading train by exchanging the information about their position. The two trains, which are far enough to allow a certain amount of end-to-end latency, are initially connected through the 3GPP network.;NO
22989-j30;9.14.3	Service Flows;2. As the following train approaches to the leading train, they start exchanging the information about movement control and each train then controls itself while considering the control of the other train. The two trains, which are still far enough to allow a certain amount of end-to-end latency, keep the connection through the 3GPP network.;NO
22989-j30;9.14.3	Service Flows;3. As the following train further approaches to the leading train, the safe braking distance gets shorter and they are required to have a connection of which end-to-end latency is very short for delicate train control. At this moment, they seamlessly switch the connection from the 3GPP network to PC5 interface;NO
22989-j30;12.10.1	Introduction;Railway applications exhibit different characteristics, e.g., in terms of latency or reliability. On the other hand, the FRMCS System offers bearer services with different properties. ;NO
22989-j30;12.10.1	Introduction;Railway applications require a QoS classification ranging from high to low as low is “best effort”. The most important QoS parameters that determine the quality of the transport system are latency of the user data and reliability of the communication. In addition, guaranteed bandwidth assures the continuation of critical communication.;NO
22989-j30;12.10.1	Introduction;A QoS characteristics (latency, reliability, throughput, setup time) expected from the FRMCS System in order to fulfil the required level of communication quality;NO
22989-j30;12.10.2.1	Description;Latency, the delay between action and reaction;NO
22989-j30;12.10.2.3	Service flows;From FRMCS User point of view there are two main service attributes latency and communication reliability.;NO
22989-j30;12.10.2.3	Service flows;For the Latency two classifications are applicable:;NO
22989-j30;12.10.2.3	Service flows;From FRMCS System point of view, latency quantifies the end-to-end user data transport delay between the involved communication entities.;NO
22989-j30;12.10.2.3	Service flows;To meet the different application characteristics e.g. conversational pattern, real-time or critical data further itemisation is necessary. The mapping of the service attributes latency and reliability among functional requirements and FRMCS System as well as their target values are summarised in Table 12.10-1.;NO
22989-j30;12.10.2.3	Service flows;In order to provide the required level of communication quality, the FRMCS System will request the applicable resources as required for the communication service from the underlying 3GPP transport system and if appropriate also from non-3GPP transport systems. The transport resources are characterised by latency, reliability, guaranteed bitrate/non-guaranteed bitrate and communication service priority.;NO
