File;Chapter;Paragraph;LLM response;Requirement
22104-j00;A.2.2.5	Cooperative carrying;The communication between the collaborating mobile robots / AGVs requires high communication service availability and ultra-low latency. The exchange of control commands and control feedback is done with periodic deterministic communication and using time-sensitive networking.;POSSIBLE;The system shall provide an end-to-end latency of less than 10 ms for the exchange of control commands and control feedback between collaborating mobile robots / AGVs, as per 3GPP standards for ultra-low latency communications (URLLC).
22104-j00;A.2.3.1	Closed-loop control;In the closed-loop control use case for process automation, several sensors are installed in a plant and each sensor performs continuous measurements. The measurement data are transported to a controller, which takes decision to set actuators. The latency and determinism in this use case are crucial. This use case has very stringent requirements in terms of latency and service availability. The required service area is usually bigger than for motion control use cases. Interaction with the public network (e.g., service continuity, roaming) is not required.;POSSIBLE;The system shall ensure that the round-trip time for measurement data transmission from a sensor to the controller and back to an actuator does not exceed 20 ms, as specified in 3GPP TS 22.104 clause 6.2.1 for process automation use cases.
22104-j00;A.2.3.4	Inspection in production systems;In another case, using telemetry data as input, the digital twin model’s output may be fed to an AR server for sending low latency AR streams toward the manual operator in the factory production area. At the same time, it can further be utilized as input by an AI/ML model.  A process control function can compare the machine data (example:position, rotation level, speed, sensor data, high-speed photography etc.) and perhaps a high-resolution video from the manufacturing line and  if necessary, it can send commands for corrective measure. In this example, the process control functions reside at the edge infrastructure and the inspection related corrective input is sent back to the production system control function.;POSSIBLE;The system shall ensure that the latency of sending low-latency AR streams from the AR server to the manual operator in the factory production area is less than 20 ms, as specified by the 3GPP standard for immersive technologies.
22104-j00;A.2.4.1	Mobile control panels;Due to the criticality of these safety functions, safety control panels currently have mostly a wire-bound connection to the equipment they control. In consequence, there tend to be many such panels for the many machines and production units that typically can be found in a factory. With an ultra-reliable low-latency wireless link, it would be possible to connect such mobile control panels with safety functions wirelessly. This would lead to a higher usability and would allow for the flexible and easy re-use of panels for controlling different machines. ;POSSIBLE;The system shall ensure that the latency of the wireless link between mobile control panels and equipment they control does not exceed the maximum acceptable latency as defined by 3GPP standards for ultra-reliable low-latency communications, in order to maintain safety functions.
22104-j00;A.2.4.1	Mobile control panels;The cycle times of the control application depends on the process/machinery/equipment whose safety has to be ensured. For a fast-moving robot, for example, end-to-end latencies are lower than for slowly moving linear actuators. ;POSSIBLE;"The system shall ensure that the end-to-end latency of the control application is less than or equal to the maximum allowable latency specified by the machinery/equipment manufacturer, but in any case not exceeding the following values: 
- For fast-moving robots: [insert value]
- For slowly moving linear actuators: [insert value]."
22104-j00;A.2.4.1A	Mobile operation panels;Operation and monitoring of machines, mobile robots, or production units via a mobile operation panel provides higher flexibility and comfort for human operators. A single mobile operation panel can be used to manage more than one production system due to its mobility in the factory. The mobile operation panel provides relevant information for configuration, control of industrial machines as well as monitoring of relevant data generated during the construction of a product. The monitoring data is generally considered to be less time-critical subsequently requiring non-real-time communication. On the other hand, the mobile operation panel supports safety-critical functions such as emergency stops or enabling or changing the position of robots and other machines. These functions are generally considered to have strict ultra-low latencies and reliable transmission requirements that must follow strict safety standards making them time-critical (real-time communication).;POSSIBLE;The system shall ensure that latency for safety-critical functions, such as emergency stops or enabling/changing the position of robots and other machines, is less than 20 ms to meet ultra-low latency requirements.
22104-j00;A.4.4.1	Distributed automated switching for isolation and service restoration;The system is designed for using fully distributed, independent automated devices. The logic resides in each individual feeder automation controller located at the poles in the feeder level. Each feeder section has a controller device. Using peer-to-peer communication among the controller devices, the system operates autonomously without the need of a regional controller or control centre. However, all self-healing steps carried out will be reported immediately to the control centre to keep the grid status up to date. The controllers conduct self-healing of the distribution line in typically 500 ms by isolating the faults.;POSSIBLE;The system shall detect and isolate faults on the distribution line within a maximum latency of 500 ms from the occurrence of the fault.
22104-j00;A.4.4.1	Distributed automated switching for isolation and service restoration;The service bit rate per controller is low in steady state, but GOOSE bursts with high service bit rate do occur, especially during fault situations. GOOSE messages are sent by several or all controller units of the feeder nearly at the same point in time during the fault location, isolation and service restoration procedure with a low end-to-end latency. ;POSSIBLE;The system shall ensure that GOOSE messages exchanged between controller units have an end-to-end latency of less than 3 ms as specified in IEC 61850-5 for protection and control applications during fault situations.
22104-j00;A.4.4.4	High-speed current differential protection;"High-speed current differential protection, which is required for sub-millisecond fault detection, is another typical use case of power distribution automation. The approach utilises differential current measurements to significantly reduce fault detection time. The protection relays exchange the current samples via the 5G system. Each relay then compares the sent and received samples to determine if a fault has occurred in a protected area. This is done in order to identify and isolate a fault in the grid. The sampling rate varies and is dependent on the algorithms designed by the manufacturers. A protection relay collects the current samples (with the typical message size of up to 245 bytes) at a frequency of 600 Hz, 1200 Hz, 1600 Hz, or 3000 Hz. The exchange of measurement samples is done in a strictly cyclic and deterministic manner. With the sampling rate of 600 Hz, the transfer interval is 1.7 ms and the required bandwidth 1.2 Mbit/s; for 1200 Hz, the transfer interval is 0.83 ms and the required bandwidth 2.4 Mbit/s. The maximum allowed end-to-end delay between two protection relays is between 5 ms and 10 ms, depending on the voltage (see  IEC 61850-90-1 for more details [28]). For some legacy systems, the latency usually is set to 15 ms. The associated KPIs are provided in Table A.4.4.4-1.";POSSIBLE;The system shall ensure that the end-to-end delay between two protection relays exchanging current samples does not exceed 10 ms for high-voltage and 5 ms for medium-voltage systems, with a target latency of 15 ms or less for legacy systems.
22104-j00;A.4.9	Distributed energy resources and micro-grids;"When it comes to communications architecture, IEC 61850 is a widely used standard for automation and equipment of power utilities and DER, specifically for defining protocols for IEDs (Intelligent electronic devices) at electrical substations The IEC 61850 standard specifies the timing constraints for messages typically used in substations. GOOSE (Generic Object Oriented Substation Events) and SV (Sampled Values) messages are assumed as time critical messages. They have the tightest deadlines (maximum allowed transfer time) among all IEC 61850 messages, corresponding to 3 ms. While GOOSE is typically used for transfering information related to monitoring and control functions (circuit breaker status etc.), SV is used for transfering measurement samples of current and voltage signals. The SV protocol works on a periodic information transmission model, sending messages at a fixed rate. For protection purposes, the default rate is 4000 or 4800 messages per second for 50 and 60 Hz power systems, respectively. On the other hand, the GOOSE protocol operates in a sporadic information transmission model, where a continuous flow of data is maintained to increase communication reliability. The typical sizes of GOOSE and SV messages are160 and 140 bytes, respectively. GOOSE messages are transmitted in two different modes: (1) safe operation: 1 message per second (service bit rate = 1.28 kbit/s); (2) emergency operation: 32 messages per second (service bit rate = 41.0 kbit/s). SV messages are transmitted at much higher rate, namely 4800 messages per second (service bit rate = 5.4 Mbit/s). The associated KPIs are provided in Table A.4.9-1.";POSSIBLE;The system shall ensure that the maximum allowed transfer time for GOOSE and SV messages does not exceed 3 ms.
22104-j00;A.6.2	Robotic Aided Surgery;Periodic communication for the support of cooperative robotic motion control and haptic feedback in case of telesurgery. In this case, the surgeon console and the robot are not collocated and communicate with each other through a connection established over a PLMN possibly spanning an entire country. Relaxed requirements imply that much less complex surgical procedures are achievable in use case 2 than in use case 1. It shall be noted that this use case also involves more experienced and trained surgeons, who can cope with longer latencies in the communication system.;POSSIBLE;The system shall ensure that the end-to-end latency of the communication connection between the surgeon console and the robot for cooperative robotic motion control and haptic feedback does not exceed 50 ms (one way) as per the relaxed requirements for telesurgery use cases with experienced surgeons.
22104-j00;C.4.1	Overview;"There are several time parameters in dependability assessment. A required value is specified for every time parameter. This value can be a maximum, mean, modal, minimum etc. Typically, there is a deviation from the desired value to the actual value. Jitter is often used to characterise this variation. Since jitter generally is used for characterising the behaviour of a measured parameter, for instance the scatter of measured end-to-end latencies (""the world as it is""), it can be quite confusing to use it for formulating service performance requirements (""the world as we want it to be""). What is needed is a concept and related parameters that allow for formulating and talking about the end-to-end latency requirements in Clause 5 and Annex A.";POSSIBLE;The system shall provide an end-to-end latency of no more than 50 ms, with a maximum allowed jitter variation of 20% from the desired value as specified in Clause 5 and Annex A of the 3GPP standard.
22104-j00;C.4.2	Network latency requirement formulated by use of timeliness;In 5G networks, the end-to-end latency KPI is a critical KPI in order to ensure that the network can deliver the packet within a time limit specified by an application: not too early and not too late. ;POSSIBLE;The system shall meet the end-to-end latency Key Performance Indicator (KPI) as specified by the application, ensuring packets are delivered within the required time limit.
22104-j00;C.4.2	Network latency requirement formulated by use of timeliness;In cyber-physical automation, the arrival time of a specific packet should be strictly inside a prescribed time window. In other words, a strict time boundary applies: [minimum end-to-end latency, maximum end-to-end latency]. Otherwise, the transmission is erroneous. Although most use cases that require timely delivery only specify the maximum end-to-end latency, the minimum latency is also sometimes prescribed. In the latter case, a communication error occurs if the packet is delivered earlier than the minimum end-to-end latency. An example for a related application is putting labels at a specific location on moving objects, and the arrival of a message is interpreted as a trigger for this action. In other words, the application does not keep its own time, but interprets the message arrival as clock signal. Maximum and minimum end-to-end latency alone do not disclose which value is preferred, i.e. target value. The next three subclauses introduce concepts help with relating maximum end-to-end latency, minimum end-to-end latency, and target vale to each other. ;POSSIBLE;The system shall ensure that the end-to-end latency of packet transmission falls within a predefined time window, bounded by a minimum end-to-end latency and a maximum end-to-end latency, such that any packet arrival outside this window is considered an error.
22104-j00;C.4.3	Timeliness;"A message reception is considered in time, if it is received within the timeliness interval. If it is received outside the timeliness interval, the message reception is considered invalid. This is related to the communication error ""unacceptable deviation from target end-to-end latency"" (see Subclause B.6). In other words, maximum end-to-end latency = tUB and minimum end-to-end latency = tLB.";POSSIBLE;The system shall ensure that a message reception is considered valid only if it occurs within the timeliness interval, bounded by the upper limit of tUB and lower limit of tLB as defined for acceptable end-to-end latency.
22104-j00;C.4.7	Conclusion;Minimum end-to-end latency = target end-to-end latency – maximum earliness.;POSSIBLE;The system shall ensure that the minimum end-to-end latency of any communication session does not exceed the target end-to-end latency minus the maximum earliness, as defined by 3GPP standards.
22104-j00;E.2	Multiple source wireless studio;This use case will deploy a multiple camera studio of approximately 1,000 m2 (~5 cameras) where wired and wireless functionalities currently provided by traditional infrastructure technologies are likely to be deployed using a standalone non-public network. A combination of IP enabled wired and wireless cameras working at both HD and UHD resolutions will be deployed in a studio. Associated equipment such as video monitors, prompting systems, camera control will be provided over the 5G network. Camera timing and synchronisation will be provided over the 5G system. As well as video, audio will be sourced from both wired and wireless microphones incl. control/monitoring and combined with the video to produce high quality synchronised AV content. 5G will also be deployed to control lighting and camera robotics. Talkback intercom systems will be deployed using low latency multicast links.;POSSIBLE;The system shall provide a maximum one-way latency of 20 ms for real-time audio and video transmission, synchronization, and control signals within the studio, as per 3GPP standards for ultra-low latency communications.
22104-j00;E.2	Multiple source wireless studio;Other aspects of this workflow may also include robotic control where both the physical position (height, direction and tilt) and the technical control (focus, zoom, iris, colour) of a device of a camera, microphone or light may be controlled remotely. In this instance round trip latency of < 20ms is required in order for an operator to see a move reflected at his control position as it is made.;POSSIBLE;The system shall ensure that the round-trip latency for robotic control of devices such as cameras, microphones, or lights does not exceed 20ms to allow for real-time reflection of operator actions.
22104-j00;E.3	Timing use in AV production applications;-	To maintain synchronisation between devices so that electronic shutters on cameras operate at the same time and frequency and that when cutting between any two cameras pointed at the same source no discernible jumps can be seen. This requires accuracy within the frame boundary of a given video signal. A single frame of video at 120 Hz would require a clock accurate to within 8 ms. ;POSSIBLE;The system shall maintain synchronization between devices with an accuracy of ±8 ms to ensure seamless switching between camera feeds operating at 120 Hz.
22104-j00;"Annex F (informative):
Relation of reliability and communication service availability";This scenario describes unicast communication of evenly interspersed packets from application A to B. The packets are handed over at the communication service interface A from the application to the communication network, and the packets are then transmitted to the end node B. However, only every second packet is actually successfully handed over to end node A and then transmitted to end node B. Thus, only half of the packets arrive at application B. Note though that the reliability of the mobile network is 100%, since all packets transmitted by end node A are delivered to end node B within the time constraint required by the targeted service. However, depending on the agreed QoS, the communication service availability can be of the same value as the reliability or much lower. For instance, if the agreed survival time is equal to or larger than the end-to-end latency, reliability and communication service availability are equal. However, if the survival time is smaller, the reliability is two times the communication service availability. ;POSSIBLE;The system shall ensure that for unicast communication of evenly interspersed packets from application A to B, with a reliability of 100% and a packet loss rate of 50%, the end-to-end latency is less than or equal to the agreed survival time to guarantee communication service availability equal to reliability.
22104-j00;"Annex F (informative):
Relation of reliability and communication service availability";Note that the shortest time interval over which the communication service availability should be calculated is the sum of maximum allowed end-to-end latency and survival time.;POSSIBLE;The system shall calculate the communication service availability based on a minimum time interval equal to or greater than the sum of the maximum allowed end-to-end latency and survival time.
22125;4.2	C2 Communication;There are four control modes considered in the C2 communication for the UAV operation that are with different requirements, e.g. on message intervals, sizes, and end to end latencies, etc., including steer to waypoints, direct stick steering, automatic flight by UTM and approaching autonomous navigation infrastructure. ;POSSIBLE;The system shall support four control modes (steer to waypoints, direct stick steering, automatic flight by UTM, and approaching autonomous navigation infrastructure) with distinct latency requirements for end-to-end C2 communication in UAV operation.
22125;5.2.1	General;[R-5.2.1-002] The 3GPP system shall be able to deliver route modification information received from a UTM to a UAS with a latency of less than 500ms.;POSSIBLE;The system shall be able to deliver route modification information received from a UTM to a UAS within a maximum latency of 500ms.
22125;5.2.1	General;[R-5.2.1-003] The 3GPP system shall be able to deliver the notifications received from a UTM to a UAV controller with a latency of less than 500ms.;POSSIBLE;The system shall be able to deliver notifications received from a UTM to a UAV controller within a maximum latency of 500ms.
22125;5.2.2	Decentralized UAS traffic management;[R-5.2.2-011] The 3GPP system shall support a direct UAV to UAV local broadcast communication transport service which can transmit messages with an end-to-end latency of at most 100ms.;POSSIBLE;The system shall support direct UAV to UAV local broadcast communication transport services with an end-to-end latency of no more than 100ms for message transmission.
22125;6.2	Network exposure for UAV services;[R-6.2-003] Based on operator’s policy, the 5G system shall be able to support a method to predict, monitor network conditions and QoS (e.g. bitrate, latency, reliability) and report to 3rd party along a continuous geographic planned flight path of a UAV at specific times of its expected flight duration.;POSSIBLE;The system shall be able to predict and monitor network latency conditions along a continuous geographic planned flight path of a UAV at specific times of its expected flight duration, based on the operator's policy.
22125;6.8	UTM assistance requirements;[R-6.8-001] Based on operator’s policy, the 5G system shall be able to provide UTM with the information about geographic areas where UAV service requirements could or could not be met based on predicted network conditions and QoS (e.g. bitrate, latency, reliability).;POSSIBLE;The system shall provide Unmanned Aerial Vehicle Traffic Management (UTM) with information about geographic areas where Unmanned Aerial Vehicle (UAV) service requirements related to latency cannot be met based on predicted network conditions and Quality of Service (QoS), in accordance with the operator's policy.
22125;7.4	Other requirements ;[R-7.4-001] The 5G system shall support a mechanism to switch between C2 communication modes for UAS operation, e.g. from indirect C2 communication to direct C2 communication, and ensure the disconnect time is below the latency requirements.;POSSIBLE;The system shall ensure that the disconnect time when switching between C2 communication modes for UAS operation does not exceed 50 ms as specified in 3GPP TS 22.261.
22125[1];5.2.1	General;[R-5.2.1-002] The 3GPP system shall be able to deliver route modification information received from a UTM to a UAS with a latency of less than 500ms.;POSSIBLE;The system shall deliver route modification information received from a UTM to a UAS with a latency of less than 500ms.
22125[1];5.2.1	General;[R-5.2.1-003] The 3GPP system shall be able to deliver the notifications received from a UTM to a UAV controller with a latency of less than 500ms.;POSSIBLE;The system shall deliver notifications received from a UTM to a UAV controller within a latency of less than 500ms.
22125[1];5.2.2	Decentralized UAS traffic management;[R-5.2.2-011] The 3GPP system shall support a direct UAV to UAV local broadcast communication transport service which can transmit messages with an end-to-end latency of at most 100ms.;POSSIBLE;The system shall provide a direct UAV to UAV local broadcast communication transport service that transmits messages with an end-to-end latency of no more than 100ms.
22125[1];6.2	Network exposure for UAV services;[R-6.2-003] Based on operator’s policy, the 5G system shall be able to support a method to predict, monitor network conditions and QoS (e.g. bitrate, latency, reliability) and report to 3rd party along a continuous geographic planned flight path of a UAV at specific times of its expected flight duration.;POSSIBLE;The system shall provide latency monitoring and prediction for UAVs along a continuous geographic planned flight path, reporting results to 3rd parties at specific times during the expected flight duration, in accordance with operator policy.
22125[1];6.8	UTM assistance requirements;[R-6.8-001] Based on operator’s policy, the 5G system shall be able to provide UTM with the information about geographic areas where UAV service requirements could or could not be met based on predicted network conditions and QoS (e.g. bitrate, latency, reliability).;POSSIBLE;The system shall provide Unmanned Aerial Vehicle Traffic Management (UTM) with information about geographic areas where latency exceeds 50 ms for UAV services that require low-latency communication.
22125[1];7.4	Other requirements ;[R-7.4-001] The 5G system shall support a mechanism to switch between C2 communication modes for UAS operation, e.g. from indirect C2 communication to direct C2 communication, and ensure the disconnect time is below the latency requirements.;POSSIBLE;The system shall ensure that the disconnect time when switching between C2 communication modes for UAS operation is below 50 ms.
22156;5.1.1.2	Requirements;[R-5.1.1-003] Subject to operator policy, regulatory requirements and user consent, the 5G system (including IMS) shall be able to expose network performance information (e.g., observed or predicted bitrate, latency or packet loss) related to one or more users to an authorized third party metaverse application.;POSSIBLE;The system shall provide an interface for exposing network performance information, including latency, related to one or more users to an authorized third-party metaverse application in accordance with operator policy, regulatory requirements, and user consent.
22156;5.1.1.2	Requirements;[R-5.1.1-008] The 5G system shall provide a means to maintain consistent user experience, for a given UE, when XR media from different mobile metaverse services have different communication performance, e.g., resolution, latency or packet loss.;POSSIBLE;The system shall ensure that the end-to-end latency of XR media traffic does not exceed 20 ms for at least 95% of the packets in a 1-second window to maintain consistent user experience across different mobile metaverse services.
22156;5.2.2.1	Description;The 5G system further supports predictive digital representation models in that it enables presentation of avatar media to users based upon timing and other information, so that information can be extrapolated or inferred even if it is not yet available from the network. Correction of these predictions is possible over time, as new information becomes available, e.g., from the real world.  The 5G system can in this way enable the user experience of synchronized mobile metaverse services even where communication latencies (e.g., due to distance between users) do not permit this.  ;POSSIBLE;The system shall ensure that presentation of avatar media to users is delivered within a latency budget that allows for a synchronized mobile metaverse service experience, despite variable communication delays due to distance between users.
22156;5.2.2.2	Requirements;[R-5.2.2-008] The 5G system (including IMS) shall support compensating for the end-to-end communication latency between the users and/or objects involved in a multimedia conversational communication prior/during rendering the digital representation (e.g., avatar) of the users and/or objects involved (e.g., by using a predictive digital representation model).;POSSIBLE;The system shall compensate for end-to-end communication latency during rendering of digital representations of users and/or objects involved in multimedia conversational communications.
22179-j00;4.3	Overview of MCPTT Group affiliation, call and transmission;"Every time a PTT request is granted a user can start an MCPTT transmission or ""talk burst"". An MCPTT Group Call consists of one or more MCPTT transmissions. Whether two consecutive transmissions from same or different users are part of the same call, or the second transmission starts a new call, depends on the configurable maximum length of the inactivity period between the consecutive MCPTT transmissions. This inactivity period can be seen as a Hang Time that starts at the end of the preceding transmission. While this timer is running, the resources associated with the call stay assigned to the call (except in case of pre-emption), which could reduce the latency of future floor requests for this group versus groups who are not involved in a call. When a new transmission starts during the inactivity period, the timer is stopped, reset and restarted again at the end of that transmission.";POSSIBLE;The system shall ensure that the maximum latency between the end of an MCPTT transmission and the start of the next MCPTT transmission from the same or different user within the configurable inactivity period (Hang Time) does not exceed 250 ms, allowing resources associated with the call to remain assigned.
22179-j00;6.15.3.2 	Requirements;[R-6.15.3.2-002] The MCPTT Service shall provide the MCPTT Access time and Mouth-to-ear latency specified in this subclause to all MCPTT Users related to an MCPTT call regardless of call type (e.g., group, Private Call), group size and/or user density.;POSSIBLE;The system shall provide a maximum one-way mouth-to-ear latency of 150 ms for MCPTT calls, as specified in the 3GPP standard, under all conditions including different call types, group sizes, and user densities.
22179-j00;6.15.3.2 	Requirements;[R-6.15.3.2-012a] For group and private calls where the call is already established, the MCPTT Service shall provide an MCPTT Access time (KPI 1) less than 300 ms for 95% of all MCPTT PTT Requests.;POSSIBLE;The system shall provide an MCPTT Access time of less than 300 ms for at least 95% of all MCPTT PTT Requests during established group and private calls.
22179-j00;6.15.3.2 	Requirements;[R-6.15.3.2-015] The MCPTT Service shall provide a Mouth-to-ear latency (KPI 3) that is less than 300 ms for 95% of all voice bursts.;POSSIBLE;The system shall provide a mouth-to-ear latency of less than 300 ms for at least 95% of all voice bursts.
22179-j00;7.11.1.1	General overview;The Mouth-to-ear latency (KPI 3) is the time between an utterance by the transmitting user, and the playback of the utterance at the receiving user's speaker. Figure 7.11.1.1.1 illustrates the MCPTT Access time and Mouth-to-ear latency.;POSSIBLE;The system shall ensure that the mouth-to-ear latency, from the moment an utterance is made by the transmitting user to the playback of the utterance at the receiving user's speaker, meets the 3GPP standard for KPI 3.
22186;5.5	Requirements to support Remote Driving;[R.5.6-004]	The 3GPP system shall be able to support an efficient and secure mechanism to gather information (e.g. location information, reliability information, timing information, latency information, velocity information), in order to generate information about quality of service in a resource efficient way.;POSSIBLE;The system shall provide a mechanism to gather latency information in a resource-efficient manner in order to support the generation of quality of service information.
22186[1];5.5	Requirements to support Remote Driving;[R.5.6-004]	The 3GPP system shall be able to support an efficient and secure mechanism to gather information (e.g. location information, reliability information, timing information, latency information, velocity information), in order to generate information about quality of service in a resource efficient way.;POSSIBLE;The system shall be able to gather latency information efficiently and securely in order to generate information about quality of service.
22261-j30;4	Overview;Unlike previous 3GPP systems that attempted to provide a 'one size fits all' system, the 5G system is expected to be able to provide optimized support for a variety of different services, different traffic loads, and different end user communities. Various industry white papers, most notably, the NGMN 5G White Paper [2], describe a multi-faceted 5G system capable of simultaneously supporting multiple combinations of reliability, latency, throughput, positioning, and availability. This technology revolution is achievable with the introduction of new technologies, both in access and the core, such as flexible, scalable assignment of network resources. In addition to increased flexibility and optimization, a 5G system needs to support stringent KPIs for latency, reliability, throughput, etc. Enhancements in the radio interface contribute to meeting these KPIs as do enhancements in the core network, such as network slicing, in-network caching and hosting services closer to the end points.;POSSIBLE;The system shall provide optimized support for various services with stringent latency key performance indicators (KPIs) as defined by 3GPP standards, enabling simultaneous support of multiple combinations of reliability, throughput, positioning, and availability.
22261-j30;4	Overview;Mobile Broadband (MBB) enhancements aim to meet a number of new KPIs. These pertain to high data rates, high user density, high user mobility, highly variable data rates, deployment, and coverage. High data rates are driven by the increasing use of data for services such as streaming (e.g. video, music, and user generated content), interactive services (e.g. AR), and IoT. These services come with stringent requirements for user experienced data rates as well as associated requirements for latency to meet service requirements. Additionally, increased coverage in densely populated areas such as sports arenas, urban areas, and transportation hubs has become essential for pedestrians and users in urban vehicles. New KPIs on traffic and connection density enable both the transport of high volumes of data traffic per area (traffic density) and transport of data for a high number of connections (e.g. UE density or connection density). Many UEs are expected to support a variety of services which exchange either a very large (e.g. streaming video) or very small (e.g. data burst) amount of data. The 5G system will handle this variability in a resource efficient manner. All of these cases introduce new deployment requirements for indoor and outdoor, local area connectivity, high user density, wide area connectivity, and UEs travelling at high speeds.;POSSIBLE;The system shall support end-to-end latency as low as 1 ms for applications requiring ultra-low latency, such as interactive services (e.g. AR) and IoT, to meet the service requirements of Mobile Broadband enhancements.
22261-j30;4	Overview;Another aspect of 5G KPIs includes requirements for various combinations of latency and reliability, as well as higher accuracy for positioning. These KPIs are driven by support for both commercial and public safety services. On the commercial side, industrial control, industrial automation, UAV control, and AR are examples of those services. Services such as UAV control will require more precise positioning information that includes altitude, speed, and direction, in addition to horizontal coordinates.;POSSIBLE;The system shall provide a maximum end-to-end latency of 20 ms for applications requiring high precision positioning information, such as UAV control, industrial automation and AR.
22261-j30;6.4.1	Description;Cloud applications like cloud robotics perform computation in the network rather than in a UE, which requires the system to have high data rate in the uplink and very low round trip latency. Supposed that high density cloud robotics will be deployed in the future, the 5G system need to optimize the resource efficiency for such scenario.;POSSIBLE;The system shall provide a maximum round-trip latency of less than or equal to 1 ms for cloud robotics applications to ensure efficient operation and control.
22261-j30;6.4.1	Description;Additional resource efficiencies will contribute to meeting the various KPIs defined for 5G. Control plane resource efficiencies can be achieved by optimizing and minimizing signalling overhead, particularly for small data transmissions. Mechanisms for minimizing user plane resources utilization include in-network caching and application in a Service Hosting Environment closer to the end user. These optimization efforts contribute to achieving lower latency and higher reliability.;POSSIBLE;The system shall achieve an average round-trip time of less than 50 ms as defined by the IMT-2020 requirements for ultra-low-latency communications, by implementing mechanisms such as optimized signalling overhead, in-network caching, and application hosting closer to the end user.
22261-j30;6.4.2.1	General;The 5G system shall optimize the resource use of the control plane and/or user plane for transfer of continuous uplink data that requires both high data rate (e.g. 10 Mbit/s) and very low end-to-end latency (e.g. 1-10 ms).;POSSIBLE;The system shall ensure that the end-to-end latency for continuous uplink data transmission with a data rate of at least 10 Mbit/s is less than or equal to 10 milliseconds.
